,Time Period,Avg Price (c/kwh)
0,0,75.16366250000053
1,1,94.55063860584741
2,2,96.714060096095
3,3,96.71405198400323
4,4,96.71391293967653
5,5,96.71403747995517
6,6,96.71400971956281
7,7,101.36402200690497
8,8,155.41352039504574
9,9,155.41200000000003
10,10,155.41071776851695
11,11,122.94020205453839
12,12,122.94012000000001
13,13,122.93983751080013
14,14,122.94005370643546
15,15,122.93931117699819
16,16,122.94024000000002
17,17,122.94
18,18,155.41199999999998
19,19,155.4119975925103
20,20,155.41216000000003
21,21,122.93997999999999
22,22,122.94017446572573
23,23,122.93996000000003
