,Time Period,Avg Price (c/kwh)
0,0,88.8737519110161
1,1,96.714
2,2,96.714
3,3,96.714
4,4,96.714
5,5,96.714
6,6,96.714
7,7,105.94337005992726
8,8,113.27482565588043
9,9,155.41200000000003
10,10,111.76382625357064
11,11,115.29669755558444
12,12,122.93999999999996
13,13,110.91238007985199
14,14,122.93999999999996
15,15,122.93999999999996
16,16,115.01744425018681
17,17,122.93999999999996
18,18,155.41200000000003
19,19,155.41200000000003
20,20,155.41199999311246
21,21,122.9399999500328
22,22,122.93999999999996
23,23,122.93999999999996
